Static Controller: On         Luminescence Correction: n/a  
Colored Samples: n/a          Heterogeneity Monitor: n/a    
Coincidence Time (nsec): 18   Delay Before Burst (nsec): 75 


S#,Count Time,CPMA,SIS,MESSAGES
1,10.00,29,1013.91,B
Missing vial 2.
3,5.00,414,690.78
4,5.00,383,701.38
5,5.00,380,698.57
6,5.00,296,693.15
7,5.00,300,708.40
8,5.00,318,687.01
9,5.00,248,676.18
10,5.00,247,767.52
11,5.00,255,663.61
Missing vial 12.
13,5.00,1636,719.83
14,5.00,1608,722.69
15,5.00,1618,718.23
16,5.00,1614,711.34
17,5.00,1642,719.72
18,5.00,1594,712.53
19,5.00,1633,713.49
20,5.00,1596,717.07
21,5.00,1620,716.64
Missing vial 22.
23,5.00,1523,707.74
24,5.00,1517,717.71
25,5.00,1498,703.34
26,5.00,1476,721.81
27,5.00,1505,718.64
28,5.00,1462,704.46
29,5.00,1535,708.86
30,5.00,1522,703.17
31,5.00,1546,708.95
Missing vial 32.
33,5.00,1132,712.68
34,5.00,1087,719.46
35,5.00,1080,707.02
36,5.00,953,694.34
37,5.00,949,716.58
38,5.00,940,696.96
39,5.00,819,706.67
40,5.00,823,694.90
41,5.00,810,709.66
Missing vial 42.
43,5.00,1490,705.43
44,5.00,1511,714.78
45,5.00,1491,711.90
46,5.00,1488,715.56
47,5.00,1486,708.40
48,5.00,1488,706.81
49,5.00,1483,720.37
50,5.00,1482,705.71
51,5.00,1472,700.69
Missing vial 52.
53,5.00,960,712.60
54,5.00,955,692.21
55,5.00,945,697.83
56,5.00,1169,702.40
57,5.00,1159,691.87
58,5.00,1137,674.95
59,5.00,706,700.99
60,5.00,710,691.22
61,5.00,722,689.25
Missing vial 62.
63,5.00,1521,703.55
64,5.00,1491,706.92
65,5.00,1521,714.12
66,5.00,1510,705.52
67,5.00,1520,708.56
68,5.00,1493,702.26
69,5.00,1516,709.58
70,5.00,1521,702.47
71,5.00,1499,648.88
Missing vial 72.
73,5.00,998,697.41
74,5.00,986,689.03
75,5.00,969,686.15
76,5.00,820,704.46
77,5.00,814,694.23
78,5.00,810,687.54
79,5.00,624,688.96
80,5.00,641,711.30
81,5.00,636,715.76
Missing vial 82.
83,5.00,1500,719.67
84,5.00,1430,717.76
85,5.00,1491,728.76
86,5.00,1433,710.53
87,5.00,1415,731.44
88,5.00,1399,727.59
89,5.00,1354,715.42
90,5.00,1359,716.48
91,5.00,1349,713.57
Missing vial 92.
93,5.00,1327,726.17
94,5.00,1339,718.27
95,5.00,1347,725.75
96,5.00,1355,722.41
97,5.00,1390,722.96
98,5.00,1336,715.61
99,5.00,1199,724.13
100,5.00,1223,723.99
101,5.00,1225,712.06
Missing vial 102.
103,5.00,301,678.63
104,5.00,304,677.60
105,5.00,319,697.22
106,5.00,178,696.28
107,5.00,195,626.53
108,5.00,201,708.76
109,5.00,150,676.51
110,5.00,154,680.07
111,5.00,137,628.13
Missing vial 112.
113,5.00,196,616.51
114,5.00,208,687.97
115,5.00,189,686.99
116,5.00,166,648.55
117,5.00,165,623.63
118,5.00,172,645.57
119,5.00,142,646.01
120,5.00,143,611.66
121,5.00,141,614.92
Missing vial 122.
123,5.00,1606,740.14
124,5.00,1542,710.55
125,5.00,1583,721.65
126,5.00,1574,723.59
127,5.00,1565,721.74
128,5.00,1580,733.59
129,5.00,1558,726.22
130,5.00,1557,720.05
131,5.00,1525,722.42
Missing vial 132.
133,5.00,1134,719.34
134,5.00,1163,714.81
135,5.00,1163,722.27
136,5.00,1102,717.75
137,5.00,1116,710.32
138,5.00,1128,711.17
139,5.00,1081,710.22
140,5.00,1058,711.17
141,5.00,1073,726.30
Missing vial 142.
143,5.00,1445,719.27
144,5.00,1436,710.81
145,5.00,1473,722.25
146,5.00,1449,718.50
147,5.00,1484,718.05
148,5.00,1466,720.33
149,5.00,1327,733.80
150,5.00,1322,721.62
151,5.00,1293,724.33
Missing vial 152.
Missing vial 153.
Missing vial 154.
Missing vial 155.
Missing vial 156.
157,5.00,117,569.92
158,5.00,6764,690.56
159,5.00,338,665.49
160,5.00,303,655.48
161,5.00,402,637.23
162,5.00,232,671.64
163,5.00,253,634.54
164,5.00,323,654.78
165,5.00,1045,676.07
166,5.00,390,669.33
167,5.00,19,565.29
168,5.00,49,609.42
169,5.00,5852,632.43
170,5.00,72,441.70
171,5.00,208,659.19
Missing vial 172.
173,5.00,21,52.17
174,5.00,28,426.68
175,5.00,24,268.12
176,5.00,18,487.34
177,5.00,19,185.30
178,5.00,21,179.56
179,5.00,17,661.57
180,5.00,33,332.88
181,5.00,31,637.72
182,5.00,28,647.16
183,5.00,7,0.00
184,5.00,18,306.33
185,5.00,34,438.00
186,5.00,23,508.96
187,5.00,15,348.80
Missing vial 188.
189,5.00,105,374.24
190,5.00,154,437.03
191,5.00,107,391.86
192,5.00,887,491.48
193,5.00,116,317.10
194,5.00,47,349.50
195,5.00,82,358.65
196,5.00,51,331.65
197,5.00,131,418.80
198,5.00,70,295.80
199,5.00,5,0.00
200,5.00,211,482.91
201,5.00,170,459.71
202,5.00,171,442.62
203,5.00,735,521.04
Missing vial 204.
205,5.00,15,0.00
206,5.00,9,0.00
207,5.00,203,463.37
208,5.00,93,374.04
209,5.00,168,439.78
210,5.00,80,424.69
211,5.00,148,483.88
212,5.00,72,377.80
213,5.00,171,398.23
214,5.00,99,370.13
215,5.00,6,0.00
216,5.00,9,0.00
217,5.00,23,178.49
218,5.00,16,0.00
219,5.00,106,384.34
